iter	Passed	Remaining
0	1	107
1	2	101
2	3	99
3	3	90
4	4	88
5	5	86
6	6	85
7	7	83
8	8	83
9	9	81
10	10	81
11	11	81
12	12	81
13	13	83
14	14	82
15	15	81
16	16	80
17	17	78
18	18	77
19	19	76
20	19	74
21	20	74
22	21	72
23	22	71
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	37	55
40	38	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	76	16
82	77	15
83	78	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	95	0
